identifier,dbms,schema,operator,type,killed,time
dr1rf8zotdgsnuuczczd,Postgres,iTrust,CCNullifier,NORMAL,true,53794
dr1rf8zotdgsnuuczczd,Postgres,iTrust,CCNullifier,NORMAL,true,55570
dr1rf8zotdgsnuuczczd,Postgres,iTrust,CCNullifier,NORMAL,true,55669
dr1rf8zotdgsnuuczczd,Postgres,iTrust,CCNullifier,NORMAL,true,56174
dr1rf8zotdgsnuuczczd,Postgres,iTrust,CCNullifier,NORMAL,true,55079
dr1rf8zotdgsnuuczczd,Postgres,iTrust,CCNullifier,NORMAL,true,57760
dr1rf8zotdgsnuuczczd,Postgres,iTrust,CCNullifier,NORMAL,true,56802
dr1rf8zotdgsnuuczczd,Postgres,iTrust,CCNullifier,NORMAL,true,56995
dr1rf8zotdgsnuuczczd,Postgres,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,56050
dr1rf8zotdgsnuuczczd,Postgres,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,58670
dr1rf8zotdgsnuuczczd,Postgres,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,55980
dr1rf8zotdgsnuuczczd,Postgres,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,56977
dr1rf8zotdgsnuuczczd,Postgres,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,53988
dr1rf8zotdgsnuuczczd,Postgres,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,55506
dr1rf8zotdgsnuuczczd,Postgres,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,55549
dr1rf8zotdgsnuuczczd,Postgres,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,56612
dr1rf8zotdgsnuuczczd,Postgres,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,55537
dr1rf8zotdgsnuuczczd,Postgres,iTrust,CCInExpressionRHSListExpressionElementR,NORMAL,true,55745
